,dayofweek,rain,avgtemp,count
0,2,0.0,10.6,10420.0
1,3,0.0,11.0,10174.0
2,4,2.1,8.0,6762.0
3,5,0.0,5.3,6418.0
4,6,0.0,8.6,5955.0
5,0,0.0,14.1,9566.0
6,1,0.0,14.2,10559.0
7,2,0.0,14.7,11526.0
8,3,0.0,16.8,11851.0
9,4,0.0,18.0,12053.0
10,5,0.0,16.1,9402.0
11,6,0.0,13.1,7803.0
12,0,0.0,11.4,8860.0
13,1,0.0,14.8,10439.0
14,2,0.0,15.2,11309.0
15,3,0.0,13.7,11622.0
16,4,0.0,13.8,9892.0
17,5,0.0,14.4,7743.0
18,6,0.0,15.6,7144.0
19,0,0.0,17.6,7860.0
20,1,0.0,12.6,9915.0
21,2,2.4,7.6,7268.0
22,3,5.1,2.6,6434.0
23,4,4.5,5.4,6790.0
24,5,2.9,4.4,5826.0
25,6,2.1,10.4,5954.0
26,0,0.1,10.2,7964.0
27,1,0.0,12.7,10424.0
28,2,0.0,13.4,11149.0
29,3,0.0,15.0,11430.0
30,4,0.0,15.4,11190.0